ymd,hms, Latitude, Longitude
2024-11-26,12:31:05.800,37.2408897,126.7741542
2024-11-26,12:31:06.816,37.2408652,126.7741398
2024-11-26,12:31:07.801,37.2408547,126.7741335
2024-11-26,12:31:08.817,37.2408540,126.7741332
2024-11-26,12:31:09.802,37.2408540,126.7741332
2024-11-26,12:31:10.819,37.2408540,126.7741332
2024-11-26,12:31:11.803,37.2408540,126.7741332
2024-11-26,12:31:12.819,37.2408540,126.7741332
2024-11-26,12:31:13.803,37.2408540,126.7741332
2024-11-26,12:31:14.788,37.2408540,126.7741332
2024-11-26,12:31:15.803,37.2408540,126.7741332
2024-11-26,12:31:16.789,37.2408540,126.7741332
2024-11-26,12:31:17.805,37.2408540,126.7741332
2024-11-26,12:31:18.821,37.2408540,126.7741332
2024-11-26,12:31:19.806,37.2408540,126.7741332
2024-11-26,12:31:20.792,37.2408540,126.7741332
2024-11-26,12:31:21.808,37.2408540,126.7741332
2024-11-26,12:31:22.808,37.2408540,126.7741332
2024-11-26,12:31:23.824,37.2408540,126.7741332
2024-11-26,12:31:24.810,37.2408540,126.7741332
2024-11-26,12:31:25.779,37.2408528,126.7741325
2024-11-26,12:31:26.794,37.2408483,126.7741280
2024-11-26,12:31:27.810,37.2408423,126.7741183
2024-11-26,12:31:28.795,37.2408373,126.7741040
2024-11-26,12:31:29.811,37.2408322,126.7740898
2024-11-26,12:31:30.795,37.2408265,126.7740808
2024-11-26,12:31:31.796,37.2408212,126.7740747
2024-11-26,12:31:32.796,37.2408170,126.7740708
2024-11-26,12:31:33.812,37.2408123,126.7740672
2024-11-26,12:31:34.797,37.2408078,126.7740643
2024-11-26,12:31:35.813,37.2408052,126.7740630
2024-11-26,12:31:36.813,37.2408040,126.7740623
2024-11-26,12:31:37.844,37.2408032,126.7740620
2024-11-26,12:31:38.783,37.2408028,126.7740618
2024-11-26,12:31:39.800,37.2408005,126.7740610
2024-11-26,12:31:40.784,37.2407895,126.7740600
2024-11-26,12:31:41.800,37.2407680,126.7740633
2024-11-26,12:31:42.800,37.2407472,126.7740617
2024-11-26,12:31:43.785,37.2407302,126.7740517
2024-11-26,12:31:44.802,37.2407207,126.7740443
2024-11-26,12:31:45.801,37.2407197,126.7740437
2024-11-26,12:31:46.819,37.2407197,126.7740437
2024-11-26,12:31:47.804,37.2407197,126.7740438
2024-11-26,12:31:48.820,37.2407195,126.7740438
2024-11-26,12:31:49.805,37.2407197,126.7740438
2024-11-26,12:31:50.805,37.2407197,126.7740438
2024-11-26,12:31:51.822,37.2407197,126.7740437
2024-11-26,12:31:52.806,37.2407197,126.7740437
2024-11-26,12:31:53.822,37.2407197,126.7740437
2024-11-26,12:31:54.792,37.2407197,126.7740437
2024-11-26,12:31:55.886,37.2407197,126.7740437
2024-11-26,12:31:56.808,37.2407197,126.7740438
2024-11-26,12:31:57.824,37.2407197,126.7740438
2024-11-26,12:31:58.809,37.2407197,126.7740438
2024-11-26,12:31:59.794,37.2407197,126.7740437
2024-11-26,12:32:00.809,37.2407197,126.7740437
2024-11-26,12:32:01.794,37.2407183,126.7740428
2024-11-26,12:32:02.794,37.2407067,126.7740347
2024-11-26,12:32:03.810,37.2406830,126.7740192
2024-11-26,12:32:04.811,37.2406530,126.7740015
2024-11-26,12:32:05.826,37.2406248,126.7739868
2024-11-26,12:32:06.811,37.2406100,126.7739792
2024-11-26,12:32:07.795,37.2406062,126.7739773
2024-11-26,12:32:08.796,37.2406062,126.7739773
2024-11-26,12:32:09.813,37.2406062,126.7739773
2024-11-26,12:32:10.782,37.2406062,126.7739773
2024-11-26,12:32:11.798,37.2406063,126.7739773
2024-11-26,12:32:12.814,37.2406063,126.7739773
2024-11-26,12:32:13.861,37.2406063,126.7739773
2024-11-26,12:32:14.784,37.2406062,126.7739773
2024-11-26,12:32:15.799,37.2406062,126.7739773
2024-11-26,12:32:16.815,37.2406062,126.7739773
2024-11-26,12:32:17.816,37.2406062,126.7739772
2024-11-26,12:32:18.816,37.2406063,126.7739772
2024-11-26,12:32:19.801,37.2406063,126.7739772
2024-11-26,12:32:20.786,37.2406063,126.7739772
2024-11-26,12:32:21.802,37.2406062,126.7739772
2024-11-26,12:32:22.786,37.2406062,126.7739773
2024-11-26,12:32:23.787,37.2406062,126.7739773
2024-11-26,12:32:24.803,37.2406057,126.7739770
2024-11-26,12:32:25.788,37.2405972,126.7739727
2024-11-26,12:32:26.804,37.2405753,126.7739622
2024-11-26,12:32:27.804,37.2405473,126.7739483
2024-11-26,12:32:28.789,37.2405218,126.7739357
2024-11-26,12:32:29.837,37.2405073,126.7739282
2024-11-26,12:32:30.789,37.2405035,126.7739262
2024-11-26,12:32:31.806,37.2405035,126.7739262
2024-11-26,12:32:32.790,37.2405037,126.7739262
2024-11-26,12:32:33.806,37.2405037,126.7739262
2024-11-26,12:32:34.792,37.2405037,126.7739262
